EBIT,Invested Capital,Free Cash Flow,Asset Turnover,Debt to Equity,R&D to Revenue,SG&A to Revenue,Market Cap,Sector,ROIC,Sector_Grouped
199169000.0,862521000.0,54447000.0,2.1674695213476562,0.5939,0.0,0.22815007225121856,4975359330.56,Consumer Defensive,0.1184,Consumer Defensive
265500000.0,4814300000.0,249200000.0,1.3664951400800458,8.8006,0.0,0.5500523012552301,4081416675.57,Consumer Defensive,0.0703,Consumer Defensive
-87004000.0,991671000.0,423898000.0,0.4588691146534129,0.1382,0.0,0.4463512776940588,2930050033.73,Consumer Defensive,-0.0286,Consumer Defensive
-243200000.0,5184400000.0,67600000.0,0.31187023838781025,1.6889,0.0,0.19057691510099126,1487251825.92,Consumer Defensive,-0.0221,Consumer Defensive
1831200000.0,4475600000.0,1025000000.0,1.3939609597397316,0.3484,0.0,0.6368882648967982,28426618317.98,Consumer Defensive,0.2728,Consumer Defensive
1184698000.0,1773477000.0,906357000.0,2.7762444699031414,0.0019,0.0,0.021972035442976035,8734458992.76,Consumer Defensive,0.4193,Consumer Defensive
969700000.0,2418400000.0,463200000.0,2.828493091381363,0.6576,0.0,0.23207020139535478,10338109721.28,Consumer Defensive,0.3313,Consumer Defensive
439512000.0,2120716000.0,233330000.0,0.9914877884830832,1.7755,0.0,0.20899463127390297,4172982483.44,Consumer Defensive,0.1179,Consumer Defensive
8627000.0,2494437000.0,31154000.0,3.4312075666260835,1.4621,0.0,0.17297307137514578,1818284759.34,Consumer Defensive,0.0027,Consumer Defensive
513000000.0,2214000000.0,337700000.0,2.1055626326963908,-5.3583,0.0,0.4015447908683903,3460854985.9,Consumer Defensive,0.3433,Consumer Defensive
14512000000.0,57426000000.0,10022000000.0,0.3301508242721852,1.023,0.0,0.3056541231965663,164078600000.0,Consumer Defensive,0.0827,Consumer Defensive
-64255000.0,90364000.0,8697000.0,0.958214801007145,0.0,0.16200948713070065,0.37447266381046734,579399955.17,Consumer Defensive,-0.2514,Consumer Defensive
108123000.0,1874840000.0,-184553000.0,0.43918224429643704,0.9076,0.0,0.18197121303076494,872320000.0,Consumer Defensive,-0.0009,Consumer Defensive
233559000.0,2526135000.0,8855000.0,3.401595140042241,1.2146,0.0,0.10934555062303458,2642588620.42,Consumer Defensive,0.0814,Consumer Defensive
26756000.0,133725000.0,8864000.0,1.9561401866242236,0.0948,0.0,0.06413786721888431,279802913.0,Consumer Defensive,0.0821,Consumer Defensive
241746000.0,646627000.0,330588000.0,0.7102307699503289,0.0,0.0,0.43311759639015984,15716260000.0,Consumer Defensive,10.1106,Consumer Defensive
1392000000.0,15917000000.0,546000000.0,1.5687093003840373,0.9199,0.0,0.03339542309739223,13663479265.8,Consumer Defensive,0.0439,Consumer Defensive
604100000.0,2446900000.0,372000000.0,0.9612396076388102,0.7101,0.0,0.2644230769230769,9545067482.06,Consumer Defensive,0.1081,Consumer Defensive
223896000.0,1499475000.0,143157000.0,0.710825183277201,0.5358,0.0,0.1326060739474206,4447165433.22,Consumer Defensive,0.0538,Consumer Defensive
1389575000.0,4402391000.0,475200000.0,1.3199252339107965,1.4967,0.0,0.25577247901039213,22954968070.37,Consumer Defensive,0.2298,Consumer Defensive
116300000.0,2720600000.0,31700000.0,4.224242237175134,3.6323,0.0,0.11556588263662071,1949080059.0,Consumer Defensive,0.0087,Consumer Defensive
33015000.0,304990000.0,-14409000.0,2.2135154029979294,0.9778,0.0,0.20673248397699556,552016967.33,Consumer Defensive,0.068,Consumer Defensive
-7142000.0,63169000.0,1195000.0,1.6171138285575226,1.0917,0.0,0.17841086510787985,105725588.69,Consumer Defensive,-0.087,Consumer Defensive
-126624409.0,67133447.0,-24903739.0,0.7714981061134859,0.0,0.0,0.5566678421142603,570958552.56,Consumer Defensive,-0.0566,Consumer Defensive
2011053845.1105,18954835209.5484,1796961887.9696,0.7003400031368536,0.5261,0.0,0.30085519398441685,20809440000.0,Consumer Defensive,0.0821,Consumer Defensive
966000000.0,2892000000.0,630000000.0,1.2949741662752465,15.0195,0.02266956837141821,0.22742110990206746,11752874650.0,Consumer Defensive,0.205,Consumer Defensive
231012000.0,1527844000.0,83976000.0,1.1180822256603529,-9.1556,0.0,0.17554161181161493,2325460330.0775,Consumer Defensive,0.2255,Consumer Defensive
378100000.0,29730300000.0,628600000.0,0.19646144731813403,3.5778,0.0,0.2548169245042829,2697987712.3473,Consumer Defensive,0.035,Consumer Defensive
28399000.0,51117000.0,13461000.0,2.9778755980861242,0.0,0.0,0.207942894113312,270751560.93,Consumer Defensive,0.484,Consumer Defensive
178606000.0,2562947000.0,133174000.0,0.7635707958019056,0.8246,0.0,0.1131647851975254,3620213855.43,Consumer Defensive,0.039,Consumer Defensive
160097000.0,2402760000.0,121857000.0,1.702338948804544,-9.4916,0.0,0.3119211239297649,1799579033.2,Consumer Defensive,0.0773,Consumer Defensive
50284000.0,312507000.0,32389000.0,0.8258991639454364,0.0008,0.0,0.4679596443543557,849381726.6,Consumer Defensive,0.3202,Consumer Defensive
573000000.0,4837000000.0,455000000.0,1.1146509341199606,0.8365,0.0,0.09262526464361327,6096856920.0,Consumer Defensive,0.093,Consumer Defensive
382043000.0,818007000.0,135355000.0,2.497043874836671,0.0223,0.0,0.05010189758346863,1937488471.36,Consumer Defensive,0.2954,Consumer Defensive
215161000.0,1796901000.0,-78801000.0,2.968444980560455,0.3612,0.0,0.13494210787132493,2976590279.3,Consumer Defensive,0.0749,Consumer Defensive
181499000.0,527973000.0,-1650000.0,0.914441064266461,0.1827,0.0,0.32045061536346603,2179094509.64,Consumer Defensive,0.3229999999999999,Consumer Defensive
503200000.0,3179700000.0,486700000.0,0.37701156061021546,0.9073,0.0266059260393538,0.34683408621085676,5641037443.779,Consumer Defensive,0.0347,Consumer Defensive
314288336.4197,2013928215.869,-85253542.7457,0.7337698635677188,0.1949,0.0,0.4152441464892174,4582450000.0,Consumer Defensive,0.1029,Consumer Defensive
164997000.0,697513000.0,65550000.0,1.7752571578528473,0.1029,0.0,0.1087592745402722,1679892764.79,Consumer Defensive,0.1861,Consumer Defensive
68800000.0,615500000.0,7300000.0,9.984557109557109,0.2109,0.0,0.048910030058073366,1431512817.02,Consumer Defensive,0.072,Consumer Defensive
171502335.8741,3761372018.687,157487091.222,0.16015027132321225,1.0899,0.0,0.19265855777591456,1161680000.0,Consumer Defensive,0.0339,Consumer Defensive
63769000.0,143626000.0,40320000.0,2.8770962255599284,0.2825,0.0,0.23898242959751068,879391134.7,Consumer Defensive,0.3137,Consumer Defensive
244851000.0,1972100000.0,-46606000.0,1.1194271716102862,0.3041,0.0,0.1030689012888874,1297559677.68,Consumer Defensive,0.0855,Consumer Defensive
159900000.0,2168200000.0,83200000.0,1.4680596568609128,0.1527,0.0,0.044761298535964354,1895568839.19,Consumer Defensive,0.0494,Consumer Defensive
298507000.0,967519000.0,-157940000.0,1.5915763667018905,0.2624,0.0,0.6767372577101726,2590718753.4,Consumer Defensive,0.2249,Consumer Defensive
138553000.0,555092000.0,19316000.0,2.6837730659758865,0.1668,0.0,0.10423555758396896,2730041190.52,Consumer Defensive,0.1669999999999999,Consumer Defensive
36396000.0,842541000.0,27478000.0,1.0400443289773955,5.6541,0.0,0.1424350268491819,681161968.08,Consumer Defensive,0.0855,Consumer Defensive
117327000.0,550978000.0,113707000.0,0.8590303801860298,0.1871,0.0,0.2942361289842562,2094103889.22,Consumer Defensive,0.0595,Consumer Defensive
-2836000.0,201251000.0,12934000.0,2.7605269099427088,0.2441,0.0,0.0467789549015348,765107138.7,Consumer Defensive,-0.0475,Consumer Defensive
-8635000.0,156755000.0,17764000.0,2.5953988632203155,0.0,0.0,0.3586831844818256,774670345.02,Consumer Defensive,-0.0321,Consumer Defensive
163632000.0,499478000.0,186206000.0,0.9628235574448999,0.0,0.0,0.3784345297917043,2688399470.0,Consumer Defensive,0.0869,Consumer Defensive
7594000.0,157338000.0,15074000.0,1.3135498786749007,0.2831,0.0,0.4545591488214634,229936780.15,Consumer Defensive,0.0398,Consumer Defensive
55693000.0,1036679000.0,118031000.0,1.396639062196675,0.9289,0.0,0.247956658025614,395890509.2,Consumer Defensive,0.0403,Consumer Defensive
127279000.0,262803000.0,113136000.0,1.6301692685905766,0.0,0.0,0.09106068246764162,2601484080.0,Consumer Defensive,0.2684,Consumer Defensive
145594000.0,415489000.0,-10673000.0,1.492176462131565,0.0013,0.0,0.35068055950839805,3846997492.56,Consumer Defensive,0.2188,Consumer Defensive
83662000.0,923469000.0,47547000.0,2.3311549895518415,0.0,0.0,0.24186664448192322,1284938622.11,Consumer Defensive,0.0572,Consumer Defensive
81864000.0,201147000.0,71075000.0,1.4490554391436414,1.2806,0.0,0.28694895760703615,809900169.48,Consumer Defensive,0.5353,Consumer Defensive
43656000.0,96375000.0,28241000.0,1.6430306562078494,0.3861,0.0,0.09386550619984976,579984931.89,Consumer Defensive,0.1275,Consumer Defensive
66027000.0,95386000.0,36434000.0,1.1749422632794457,0.0,0.0,0.41193931775327125,636545617.65,Consumer Defensive,0.307,Consumer Defensive
1352841448.5284,9641801166.418,928455174.2846,0.693604437621839,0.6451,0.0,0.31806270282013177,2913940000.0,Consumer Defensive,0.08,Consumer Defensive
6561000.0,81040000.0,-8319000.0,1.444238443537538,0.2396,0.0,0.6675851056335272,83377208.44,Consumer Defensive,0.0715,Consumer Defensive
126346318.0,2334849660.0,46444440.0,2.315086352759555,2.4497,0.0,0.18838552144197593,544413841.92,Consumer Defensive,0.0547,Consumer Defensive
-173936000.0,170952000.0,-131780000.0,1.5935655078861932,0.0355,0.0,0.7007431364911528,468258986.4,Consumer Defensive,-0.5318,Consumer Defensive
91732000.0,504287000.0,78065000.0,0.5970269753708867,0.012,0.0,0.21658985327261857,1853041794.4472,Consumer Defensive,0.0744,Consumer Defensive
192987000.0,1460165000.0,-68345000.0,1.919941793688142,0.4697,0.0,0.06955640121046565,1535746000.0,Consumer Defensive,0.0382,Consumer Defensive
32450000.0,268139000.0,2125000.0,3.3200615637543396,0.1979,0.0,0.2346816485319721,337288704.0,Consumer Defensive,0.0793,Consumer Defensive
203100000.0,2282500000.0,118500000.0,0.9984054318193508,-2.9041,0.0,0.5200927357032458,1788508219.68,Consumer Defensive,0.1185,Consumer Defensive
44186000.0,357221000.0,2022000.0,1.973138103093933,0.3614,0.0,0.09954766240871694,291057393.16,Consumer Defensive,0.0899,Consumer Defensive
30744000.0,246239000.0,73504000.0,1.2921113385895369,0.0698,0.01546403524321056,0.3406633440378097,952041889.43,Consumer Defensive,0.0451,Consumer Defensive
22667096.3584,69586690.2997,22657106.0264,0.7242730724562382,0.0,0.0,0.09563828729802061,118785800000.0,Consumer Defensive,0.7834,Consumer Defensive
111321000.0,380145000.0,69283000.0,1.3046058801912106,0.0009,0.0,0.19530676458016794,1757456774.28,Consumer Defensive,0.1291,Consumer Defensive
-11927000.0,34178000.0,-15467000.0,0.8735652211791867,1.0271,0.0,0.35788371397227486,38996181.12,Consumer Defensive,-0.291,Consumer Defensive
23996000.0,102376000.0,14654000.0,0.9998976538360317,0.216,0.0,0.5156873735773646,320307890.0,Consumer Defensive,0.1011,Consumer Defensive
31378000.0,178593000.0,6159000.0,1.5203381129572768,0.1693,0.015108648463863191,0.07376057280317441,327790541.52,Consumer Defensive,0.0494,Consumer Defensive
10564000.0,294016000.0,-9774000.0,0.41906621247777326,0.5777,0.0,0.1385629506485473,361243455.82,Consumer Defensive,0.0289,Consumer Defensive
-1529933.0,13987078.0,-2931710.0,2.9508155995996126,-1.5006,0.0,0.48788884941844984,75012914.94,Consumer Defensive,-0.2954,Consumer Defensive
14095000.0,181467000.0,32164000.0,1.9850700849434775,0.0852,0.0,0.36112646201597337,357868925.79,Consumer Defensive,0.0351,Consumer Defensive
5530000.0,132296000.0,-5618000.0,1.1199377383105358,0.1289,0.0,0.2649708532061473,254450121.48,Consumer Defensive,0.0239,Consumer Defensive
-4580000.0,82843252.0325,-14738211.3821,0.3898851503003877,1.1322,0.09725249712827733,0.2538676275416061,30188400.0,Consumer Defensive,-0.0304,Consumer Defensive
80162000.0,1016330000.0,9240000.0,1.2186157607830987,2.7439,0.0,0.35460546997799436,815318913.46,Consumer Defensive,0.0476,Consumer Defensive
65108629.0,330771426.0,-321670.0,1.2956409654003374,1.2408,0.0,0.06394878991428665,416150000.0,Consumer Defensive,0.1972,Consumer Defensive
27752000.0,-27682000.0,41400000.0,0.5663145505712904,0.1685,0.0,0.3404461088933701,242895510.0,Consumer Defensive,0.0,Consumer Defensive
-15112528.2531,-15787051.9858,-3702453.9877,0.22993213456736303,0.0,0.20649300900654785,2.16092702548621,50381800.0,Consumer Defensive,0.0,Consumer Defensive
-3041083.0,1617379.0,-2677403.0,1.2200519230554032,-1.3333,0.0,1.8810489326087454,37925155.5,Consumer Defensive,-20.2672,Consumer Defensive
24906000.0,854497000.0,38601000.0,1.7431264493993,0.5863,0.0,0.05232695223428005,338147142.0,Consumer Defensive,0.0244,Consumer Defensive
-4432000.0,43579000.0,-7735000.0,2.29305899339934,0.0,0.0,0.3230035756853397,75246897.0,Consumer Defensive,-0.0636,Consumer Defensive
